CUST_ID,ACC_NO,CUST_NAME,CUST_GENDER,CUST_ADDRESS,CUST_CITY,CUST_STATE,CUST_DOB,CUST_EMAIL,CUST_CONTACTNO,CUST_PAN_ID,CUST_MARITALSTATUS,CUST_SALARY,CUST_NOMINEE,EMP_ALIAS
98000000,4233814356,Shruti Sharma,Female,"104, IsconAvenue, Opp. Choice Restaurant Nr. Swastik Char Rasta, C.G. Road, Ahmedabad-380009",Ahmedabad,Gujarat,34344,Shruti.Sharma1219@gmail.com,9290926510,YHNEP2134P,Single,39638,Mudita Manikkalingam,arjga
98000001,8153074807,Satbir Singh,Male,"104, LAWRENCE ROAD, 1ST FLOOR, OPP. NEHRU SHOPPING COMPLEX, AMRITSAR - 143001",Amritsar,Punjab,36423,Satbir.Singh898@gmail.com,8097264379,SCAIM4935O,Married,68070,Manmohan Rengarajan,eemja
98000002,7044733721,Kanishk Sethi,Male,"104,Time Square Complex, Nr Kailash Resturant,Nanpura Surat,Gujrat.",Surat,Gujarat,34743,Kanishk.Sethi216@gmail.com,9051607476,PMSWC2456S,Single,60938,Purnendu Pavan,namad
98000003,9571446558,Swati Shukla,Female,"105, Plot 17, Vardhman Plaza, Rani Bagh, Pitampura, New Delhi",New Delhi,New Delhi,32786,Swati.Shukla12@gmail.com,8187690369,KPVND5312U,Married,42018,Aahlaad Naimesh,jyadva
98000004,9571496938,Haresh Ahir,Male,"105, Vardhman Arihant Chamber, Plot No 6, KP Block, Community Center, Pitampura",New Delhi,New Delhi,34498,Haresh.Ahir144@gmail.com,9039723404,ISACP7025R,Married,61200,Vipin Lankesh Vijayashree,eemja
98000005,4233188259,Ketan Sanghavi,Male,"105/106 & 201/202, Gala Business Centre-1 Off. C.G. Road, Ahmedabad-380009",Ahmedabad,Gujarat,34192,Ketan.Sanghavi1487@gmail.com,7892749462,JZRPL6092C,Single,2696,Sunanda Vajpayee,namad
98000006,9571387283,Narendra Gurjar,Male,"105/12, Amrit Puri B, East of Kailash, Opp Iskon Temple",New Delhi,New Delhi,36313,Narendra.Gurjar1900@gmail.com,8527145694,PIMHD4195B,Married,18225,Rampratap Ghosal,rajshi
98000007,9571684595,Abhishek Shukla,Male,"106, 1st floor, anand chambers, 25/34, east patel nagar, new delhi",New Delhi,New Delhi,33610,Abhishek.Shukla293@gmail.com,7760339875,QEGSH8052G,Divorced,79653,Tanmay Shujauddin,pbaua
98000008,9571619617,Tanvi,Female,"106, Mehar Chand Market, Lodhi Colony, New delhi",New Delhi,New Delhi,35124,Tanvi.1350@gmail.com,7456781898,SRFLO6871R,Single,27277,Ramashray Suryanarayana,pbaua
98000009,4233326586,Babli Bhatia,Female,"106, Pinnacle Business Park, Corporate Road Prahladnagar, Ahmedabad-380015",Ahmedabad,Gujarat,32386,Babli.Bhatia685@gmail.com,7791319509,JQYIZ7428M,Married,12936,Archan Murugan,eemja
98000010,9571914672,Monika Kalia,Female,"107, AGGARWAL PLAZA 3, 1ST FLOOR, PLOT NO.11, SECTOR 10, DWARKA, NEW DELHI - 110075",New Delhi,New Delhi,36433,Monika.Kalia820@gmail.com,8088443016,WUXFV1428X,Married,11743,Maanika Keskar,namad
98000011,9571857434,Ajay Kumar ,Male,"108, 1st floor, plot no 10, sikka complex, preet vihar community center, vikas marg, near cbse building, new delhi",New Delhi,New Delhi,33513,Ajay.Kumar 1885@gmail.com,8564687334,AFCYT4631T,Single,85245,Neeharika Vikriti,meema
98000012,9571325396,Parmesh,Male,"108, Pragati Tower 26, Rajendra Place, New Delhi",New Delhi,New Delhi,33520,Parmesh.1044@gmail.com,8847484707,HPNWM3462N,Divorced,63041,Inayat Ramamuthe,rajshi
98000013,9571399121,Rajat,Male,"108-109, A.J. Chambers, Naiwala, Karol Bagh",New Delhi,New Delhi,35695,Rajat.1284@gmail.com,7399030948,TNKBO7106X,Divorced,43453,Vijaya Sandipan,jyadva
98000014,8370846082,Ashish Gaur,Male,"10th Floor ,1001/2/3 , Hallmark Business Plaza , Gurunanak BARC Hospital Rd, Bandra East , Mumbai , 400051",Mumbai,Maharashtra,34383,Ashish.Gaur687@gmail.com,8733331463,CJWEG2031L,Single,49553,Maithili Nira,jyadva
98000015,4233379027,Anuj Kumar,Male,"11, Parekhvas, B/h. Ambaji Mata Temple, Vejalpur Village, Ahmedabad-380051",Ahmedabad,Gujarat,36160,Anuj.Kumar1387@gmail.com,8884974632,UVYOA7629I,Divorced,69443,Manda Virani,meema
